id,kelas
101,X RPL 1
102,X RPL 2
103,X TKJ 1
104,X TKJ 2
105,X MM 1
106,X MM 2
107,X OTKP 1
108,X OTKP 2
109,X AK 1
110,X AK 2
111,X AK 3
112,X BDPM 1
113,X BDPM 2
114,X PH 1
115,X PH 2
116,X PH 3
117,X TB 1
118,X DKV 1
119,X DKV 2
120,X ST 1
201,XI RPL 1
202,XI RPL 2
203,XI TKJ 1
204,XI TKJ 2
205,XI MM 1
206,XI MM 2
207,XI OTKP 1
208,XI OTKP 2
209,XI AK 1
210,XI AK 2
211,XI AK 3
212,XI BDPM 1
213,XI BDPM 2
214,XI PH 1
215,XI PH 2
216,XI PH 3
217,XI TB 1
218,XI DKV 1
219,XI DKV 2
220,XI ST 1
301,XII RPL 1
302,XII RPL 2
303,XII TKJ 1
304,XII TKJ 2
305,XII MM 1
306,XII MM 2
307,XII OTKP 1
308,XII OTKP 2
309,XII AK 1
310,XII AK 2
311,XII AK 3
312,XII BDPM 1
313,XII BDPM 2
314,XII PH 1
315,XII PH 2
316,XII PH 3
317,XII DKV 1
318,XII DKV 2
319,XII ST 1
320,XII ST 2
